Disease,ID
Galactosemia type 1,HMDB0000138
Chronic active hepatitis,HMDB0000138
Glycogen storage disease,HMDB0000138
Acute liver failure,HMDB0000138
Portal vein obstruction,HMDB0000138
Wilson's disease,HMDB0000138
Colorectal cancer,HMDB0000138
Crohn's disease,HMDB0000138
Ulcerative colitis,HMDB0000138
Ethylene glycol poisoning,HMDB0000115
Hemodialysis,HMDB0000115
Branched-chain Keto Acid Dehydrogenase Kinase Deficiency,HMDB0000115
Transurethral resection of the prostate,HMDB0000115
Colorectal cancer,HMDB0000115
Lung Cancer,HMDB0000115
Biliary atresia,HMDB0000115
Eosinophilic esophagitis,HMDB0000115
Schizophrenia,HMDB0000115
Fumarase deficiency,HMDB0000115
D-2-hydroxyglutaric aciduria,HMDB0000115
Primary hyperoxaluria I,HMDB0000115
Glycolic aciduria,HMDB0000115
Glutaric acidemia type 2,HMDB0000115
Colorectal cancer,HMDB0000708
Colorectal cancer,HMDB0028844
Periodontal Probing Depth,HMDB0028844
Colorectal cancer,HMDB0028847
Colorectal cancer,HMDB0028848
Colorectal cancer,HMDB0028851
Colorectal cancer,HMDB0028852
Prostate cancer,HMDB0011733
Colorectal cancer,HMDB0011733
Cystic fibrosis,HMDB0011733
Colorectal cancer,HMDB0000759
Periodontal Probing Depth,HMDB0000759
Colorectal cancer,HMDB0000721
Prolidase deficiency,HMDB0000721
Alzheimer's disease,HMDB0000721
Eosinophilic esophagitis,HMDB0000721
Colorectal cancer,HMDB0028853
Colorectal cancer,HMDB0028854
Colorectal cancer,HMDB0000132
Alzheimer's disease,HMDB0000132
Frontotemporal dementia,HMDB0000132
Lewy body disease,HMDB0000132
Lesch-Nyhan syndrome,HMDB0000132
Colorectal cancer,HMDB0000133
Crohn's disease,HMDB0000133
Ulcerative colitis,HMDB0000133
Attachment loss,HMDB0000133
Periodontal Probing Depth,HMDB0000133
Tooth Decay,HMDB0000133
Purine nucleoside phosphorylase deficiency,HMDB0000133
Eosinophilic esophagitis,HMDB0000133
Colorectal cancer,HMDB0003178
Schizophrenia,HMDB0002259
Colorectal cancer,HMDB0002259
Colorectal cancer,HMDB0061835
Ulcerative colitis,HMDB0000666
Irritable bowel syndrome,HMDB0000666
Autism,HMDB0000666
Pervasive developmental disorder not otherwise specified,HMDB0000666
Crohn's disease,HMDB0000666
Colorectal cancer,HMDB0000666
Colorectal cancer,HMDB0005782
Colorectal cancer,HMDB0000672
Colorectal cancer,HMDB0000712
Colorectal cancer,HMDB0061822
Celiac disease,HMDB0000756
Very Long Chain Acyl-CoA Dehydrogenase Deficiency,HMDB0000756
Glutaric aciduria II,HMDB0000756
Obesity,HMDB0000756
Crohn's disease,HMDB0000756
Ulcerative colitis,HMDB0000756
Colorectal cancer,HMDB0000756
Colorectal cancer,HMDB0000701
Medium Chain Acyl-CoA Dehydrogenase Deficiency,HMDB0000701
Propionic acidemia,HMDB0000701
Ethylmalonic encephalopathy,HMDB0000701
Short Chain Acyl-Coa Dehydrogenase Deficiency,HMDB0000701
Uremia,HMDB0000714
Crohn's disease,HMDB0000714
Ulcerative colitis,HMDB0000714
Paraquat poisoning,HMDB0000714
Lung Cancer,HMDB0000714
Diabetes mellitus type 1,HMDB0000714
Argininosuccinic aciduria,HMDB0000714
Propionic acidemia,HMDB0000714
Tyrosinemia I,HMDB0000714
Phenylketonuria,HMDB0000714
Maple syrup urine disease,HMDB0000714
Eosinophilic esophagitis,HMDB0000714
Colorectal cancer,HMDB0000714
Schizophrenia,HMDB0000714
Obesity,HMDB0000714
Nephrotic syndrome,HMDB0000870
Hemodialysis,HMDB0000870
Kidney disease,HMDB0000870
Continuous ambulatory peritoneal dialysis,HMDB0000870
Colorectal cancer,HMDB0000870
Eosinophilic esophagitis,HMDB0000870
Colorectal cancer,HMDB0028878
Colorectal cancer,HMDB0028885
Colorectal cancer,HMDB0028888
Colorectal cancer,HMDB0028889
Colorectal cancer,HMDB0028892
Colorectal cancer,HMDB0028893
Colorectal cancer,HMDB0028896
Colorectal cancer,HMDB0028898
Colorectal cancer,HMDB0000679
Eosinophilic esophagitis,HMDB0000679
"Hyperlysinemia I, familial",HMDB0000679
Creutzfeldt-Jakob disease,HMDB0000742
Sickle cell anemia,HMDB0000742
Multiple sclerosis,HMDB0000742
Stroke,HMDB0000742
Peripheral neuropathy,HMDB0000742
Chronic renal failure,HMDB0000742
Continuous ambulatory peritoneal dialysis,HMDB0000742
Hemodialysis,HMDB0000742
Homocystinuria,HMDB0000742
Parkinson's disease,HMDB0000742
Amyotrophic lateral sclerosis,HMDB0000742
Progressive supranuclear palsy,HMDB0000742
Uremia,HMDB0000742
"Sulfite oxidase deficiency, ISOLATED",HMDB0000742
Methylenetetrahydrofolate reductase deficiency,HMDB0000742
Molybdenum cofactor deficiency,HMDB0000742
Cystathioninuria,HMDB0000742
Molybdenium co-factor deficiency,HMDB0000742
Dimethylglycine Dehydrogenase Deficiency,HMDB0000742
Dementia,HMDB0000742
Alzheimer's disease,HMDB0000742
Colorectal cancer,HMDB0000742
Transcobalamin II deficiency,HMDB0000742
Colorectal cancer,HMDB0001928
Prostate cancer,HMDB0000764
Irritable bowel syndrome,HMDB0000764
Ulcerative colitis,HMDB0000764
Colorectal cancer,HMDB0000764
Crohn's disease,HMDB0000764
Attachment loss,HMDB0000764
Missing teeth,HMDB0000764
Periodontal Probing Depth,HMDB0000764
Prosthesis/Missing teeth,HMDB0000764
Supragingival Plaque,HMDB0000764
Tooth Decay,HMDB0000764
Colorectal cancer,HMDB0000746
Supragingival Plaque,HMDB0000746
Tooth Decay,HMDB0000746
Maple syrup urine disease,HMDB0000746
Eosinophilic esophagitis,HMDB0000746
Colorectal cancer,HMDB0000711
Colorectal cancer,HMDB0000755
Supragingival Plaque,HMDB0000755
Phenylketonuria,HMDB0000755
Eosinophilic esophagitis,HMDB0000755
Stomach cancer,HMDB0000700
Branched-chain Keto Acid Dehydrogenase Kinase Deficiency,HMDB0000700
Colorectal cancer,HMDB0000700
Biotinidase deficiency,HMDB0000700
Eosinophilic esophagitis,HMDB0000700
Propionic acidemia,HMDB0000700
Colorectal cancer,HMDB0001352
Colorectal cancer,HMDB0000760
Primary biliary cirrhosis,HMDB0000760
Lesch-Nyhan syndrome,HMDB0000157
Canavan disease,HMDB0000157
Thymidine treatment,HMDB0000157
Uremia,HMDB0000157
Xanthinuria type 1,HMDB0000157
Degenerative disc disease,HMDB0000157
Hydrocephalus,HMDB0000157
3-Methyl-crotonyl-glycinuria,HMDB0000157
Irritable bowel syndrome,HMDB0000157
Colorectal cancer,HMDB0000157
Crohn's disease,HMDB0000157
Ulcerative colitis,HMDB0000157
Rheumatoid arthritis,HMDB0000157
Perillyl alcohol administration for cancer treatment,HMDB0000157
Pancreatic cancer,HMDB0000157
Periodontal disease,HMDB0000157
Alzheimer's disease,HMDB0000157
Frontotemporal dementia,HMDB0000157
Lewy body disease,HMDB0000157
Attachment loss,HMDB0000157
Periodontal Probing Depth,HMDB0000157
Lung Cancer,HMDB0000157
Autosomal  dominant polycystic kidney disease,HMDB0000157
Eosinophilic esophagitis,HMDB0000157
Hepatocellular carcinoma,HMDB0000157
Molybdenum cofactor deficiency,HMDB0000157
"Sulfite oxidase deficiency, ISOLATED",HMDB0000157
Phosphoribosylpyrophosphate Synthetase Superactivity,HMDB0000157
Colorectal cancer,HMDB0002271
Supragingival Plaque,HMDB0002271
Colorectal cancer,HMDB0003320
Metastatic melanoma,HMDB0003320
Colorectal cancer,HMDB0002302
Uremia,HMDB0000197
Anorexia nervosa,HMDB0000197
Autism,HMDB0000197
Major depressive disorder,HMDB0000197
Colorectal cancer,HMDB0000197
Tooth Decay,HMDB0000197
Appendicitis,HMDB0000197
Irritable bowel syndrome,HMDB0000197
Eosinophilic esophagitis,HMDB0000197
Tryptophanuria with dwarfism,HMDB0000197
Colorectal cancer,HMDB0013240
Colorectal cancer,HMDB0000671
Uremia,HMDB0000682
Colorectal cancer,HMDB0000682
Eosinophilic esophagitis,HMDB0000682
Critical illnesses,HMDB0000195
Canavan disease,HMDB0000195
Kidney disease,HMDB0000195
Purine nucleoside phosphorylase deficiency,HMDB0000195
Thymidine treatment,HMDB0000195
Septic shock,HMDB0000195
Xanthinuria type 1,HMDB0000195
Degenerative disc disease,HMDB0000195
Irritable bowel syndrome,HMDB0000195
Colorectal cancer,HMDB0000195
Crohn's disease,HMDB0000195
Ulcerative colitis,HMDB0000195
Gout,HMDB0000195
Coronary artery disease,HMDB0000195
Attachment loss,HMDB0000195
Periodontal Probing Depth,HMDB0000195
Tooth Decay,HMDB0000195
Eosinophilic esophagitis,HMDB0000195
Early preeclampsia,HMDB0001873
Pregnancy,HMDB0001873
Irritable bowel syndrome,HMDB0001873
Ulcerative colitis,HMDB0001873
Nonalcoholic fatty liver disease,HMDB0001873
Colorectal cancer,HMDB0001873
Celiac disease,HMDB0001873
Crohn's disease,HMDB0001873
Eosinophilic esophagitis,HMDB0001873
Irritable bowel syndrome,HMDB0000689
Ulcerative colitis,HMDB0000689
Nonalcoholic fatty liver disease,HMDB0000689
Celiac disease,HMDB0000689
Colorectal cancer,HMDB0000689
Attachment loss,HMDB0000689
Periodontal Probing Depth,HMDB0000689
Supragingival Plaque,HMDB0000689
Colorectal cancer,HMDB0028900
Colorectal cancer,HMDB0028901
Colorectal cancer,HMDB0028902
Colorectal cancer,HMDB0028903
Colorectal cancer,HMDB0028906
Colorectal cancer,HMDB0028907
Attachment loss,HMDB0028907
Periodontal Probing Depth,HMDB0028907
Supragingival Calculus,HMDB0028907
Colorectal cancer,HMDB0028910
Colorectal cancer,HMDB0028911
Colorectal cancer,HMDB0028913
Colorectal cancer,HMDB0028914
Colorectal cancer,HMDB0028916
Colorectal cancer,HMDB0028917
Colorectal cancer,HMDB0028918
Colorectal cancer,HMDB0028919
Colorectal cancer,HMDB0028920
Colorectal cancer,HMDB0031068
Isovaleric acidemia,HMDB0000718
Ulcerative colitis,HMDB0000718
Irritable bowel syndrome,HMDB0000718
Nonalcoholic fatty liver disease,HMDB0000718
Colorectal cancer,HMDB0000718
Celiac disease,HMDB0000718
Crohn's disease,HMDB0000718
Autism,HMDB0000718
Pervasive developmental disorder not otherwise specified,HMDB0000718
Diverticular disease,HMDB0000718
Attachment loss,HMDB0000718
Periodontal Probing Depth,HMDB0000718
Supragingival Plaque,HMDB0000718
Tooth Decay,HMDB0000718
Eosinophilic esophagitis,HMDB0000718
Isovaleric acidemia,HMDB0000678
Colorectal cancer,HMDB0000678
Anorexia nervosa,HMDB0000678
Eosinophilic esophagitis,HMDB0000678
Propionic acidemia,HMDB0000678
Ethylmalonic encephalopathy,HMDB0000678
Glutaric aciduria II,HMDB0000678
Short/branched chain acyl-CoA dehydrogenase deficiency,HMDB0000678
Colorectal cancer,HMDB0005801
Maple syrup urine disease,HMDB0000695
Branched-chain Keto Acid Dehydrogenase Kinase Deficiency,HMDB0000695
Colorectal cancer,HMDB0000695
Gout,HMDB0000695
Rheumatoid arthritis,HMDB0000695
Attachment loss,HMDB0000695
Missing teeth,HMDB0000695
Periodontal Probing Depth,HMDB0000695
Tooth Decay,HMDB0000695
Eosinophilic esophagitis,HMDB0000695
Prostate cancer,HMDB0011742
Uremia,HMDB0000715
Malaria,HMDB0000715
Anemia,HMDB0000715
Tuberculous meningitis,HMDB0000715
Convulsion,HMDB0000715
Schizophrenia,HMDB0000715
Crohn's disease,HMDB0000715
Ulcerative colitis,HMDB0000715
Eosinophilic esophagitis,HMDB0000715
Colorectal cancer,HMDB0000715
Phenylketonuria,HMDB0000748
Colorectal cancer,HMDB0000748
Very Long Chain Acyl-CoA Dehydrogenase Deficiency,HMDB0000201
Colorectal cancer,HMDB0000201
3-Methyl-crotonyl-glycinuria,HMDB0000201
Obesity,HMDB0000201
Short-chain L-3-hydroxyacyl-CoA dehydrogenase deficiency,HMDB0000201
3-Hydroxyacyl-CoA dehydrogenase deficiency,HMDB0000201
Sepsis,HMDB0000201
Crohn's disease,HMDB0000201
Ulcerative colitis,HMDB0000201
Attachment loss,HMDB0000201
Periodontal Probing Depth,HMDB0000201
Tooth Decay,HMDB0000201
Eosinophilic esophagitis,HMDB0000201
Dengue fever,HMDB0000161
Epilepsy,HMDB0000161
Heart failure,HMDB0000161
Early preeclampsia,HMDB0000161
Pregnancy,HMDB0000161
Late-onset preeclampsia,HMDB0000161
N-acetylglutamate synthetase deficiency,HMDB0000161
Histidinemia,HMDB0000161
Glucagon deficiency,HMDB0000161
Dihydrolipoamide Dehydrogenase Deficiency,HMDB0000161
Pyruvate dehydrogenase phosphatase deficiency,HMDB0000161
Pearson Syndrome,HMDB0000161
"Coenzyme Q10 deficiency, primary, 5",HMDB0000161
Pyruvate carboxylase deficiency,HMDB0000161
Mitochondrial pyruvate carrier deficiency,HMDB0000161
Lipoyltransferase 1 Deficiency,HMDB0000161
Meningitis,HMDB0000161
Tuberculosis,HMDB0000161
Leukemia,HMDB0000161
Schizophrenia,HMDB0000161
"Epilepsy, early-onset, vitamin B6-dependent",HMDB0000161
Crohn's disease,HMDB0000161
Ulcerative colitis,HMDB0000161
Colorectal cancer,HMDB0000161
Irritable bowel syndrome,HMDB0000161
Autism,HMDB0000161
Diverticular disease,HMDB0000161
Gout,HMDB0000161
Rheumatoid arthritis,HMDB0000161
Perillyl alcohol administration for cancer treatment,HMDB0000161
Pancreatic cancer,HMDB0000161
Periodontal disease,HMDB0000161
Alzheimer's disease,HMDB0000161
Frontotemporal dementia,HMDB0000161
Lewy body disease,HMDB0000161
Temporomandibular joint disorder,HMDB0000161
Paraquat poisoning,HMDB0000161
Lung Cancer,HMDB0000161
Eosinophilic esophagitis,HMDB0000161
Amish lethal microcephaly,HMDB0000161
Maple syrup urine disease,HMDB0000557
Short/branched chain acyl-CoA dehydrogenase deficiency,HMDB0000557
Colorectal cancer,HMDB0000557
Eosinophilic esophagitis,HMDB0000557
Colorectal cancer,HMDB0004041
Prostate cancer,HMDB0004041
Ribose-5-phosphate isomerase deficiency,HMDB0000646
Colorectal cancer,HMDB0000646
Eosinophilic esophagitis,HMDB0000646
Ribose-5-phosphate isomerase deficiency,HMDB0001851
Uremia,HMDB0001851
Alzheimer's disease,HMDB0001851
Colorectal cancer,HMDB0001851
Intestinal failure,HMDB0000517
Alzheimer's disease,HMDB0000517
Heart failure,HMDB0000517
Argininemia,HMDB0000517
Chronic renal failure,HMDB0000517
Colorectal cancer,HMDB0000517
Early preeclampsia,HMDB0000517
Pregnancy,HMDB0000517
Late-onset preeclampsia,HMDB0000517
Lysinuric protein intolerance,HMDB0000517
N-acetylglutamate synthetase deficiency,HMDB0000517
Citrullinemia type I,HMDB0000517
Obesity,HMDB0000517
Pearson Syndrome,HMDB0000517
"Citrullinemia type II, neonatal-onset",HMDB0000517
"Cutis laxa, autosomal recessive, type IIIA",HMDB0000517
Duchenne Muscular Dystrophy,HMDB0000517
"Myopathy, lactic acidosis, and sideroblastic anemia 1",HMDB0000517
"Phosphoenolpyruvate Carboxykinase Deficiency 1, Cytosolic",HMDB0000517
Hyperargininemia,HMDB0000517
Leukemia,HMDB0000517
Schizophrenia,HMDB0000517
Irritable bowel syndrome,HMDB0000517
Ulcerative colitis,HMDB0000517
Autism,HMDB0000517
Crohn's disease,HMDB0000517
Frontotemporal dementia,HMDB0000517
Lewy body disease,HMDB0000517
Attachment loss,HMDB0000517
Missing teeth,HMDB0000517
Periodontal Probing Depth,HMDB0000517
Cystinuria,HMDB0000517
Argininosuccinic aciduria,HMDB0000517
Propionic acidemia,HMDB0000517
Tyrosinemia I,HMDB0000517
Maple syrup urine disease,HMDB0000517
Eosinophilic esophagitis,HMDB0000517
Hyperdibasic aminoaciduria I,HMDB0000517
"Hyperlysinemia I, familial",HMDB0000517
Hyperlysinuria,HMDB0000517
Epilepsy,HMDB0000168
Uremia,HMDB0000168
Colorectal cancer,HMDB0000168
Early preeclampsia,HMDB0000168
Pregnancy,HMDB0000168
Late-onset preeclampsia,HMDB0000168
Fumarase deficiency,HMDB0000168
Leukemia,HMDB0000168
Schizophrenia,HMDB0000168
Alzheimer's disease,HMDB0000168
Celiac disease,HMDB0000168
Crohn's disease,HMDB0000168
Ulcerative colitis,HMDB0000168
Gout,HMDB0000168
Frontotemporal dementia,HMDB0000168
Lewy body disease,HMDB0000168
Cystic fibrosis,HMDB0000168
Eosinophilic esophagitis,HMDB0000168
Epilepsy,HMDB0000191
Cirrhosis,HMDB0000191
Alzheimer's disease,HMDB0000191
Dicarboxylic aminoaciduria,HMDB0000191
Growth hormone deficiency,HMDB0000191
Schizophrenia,HMDB0000191
Irritable bowel syndrome,HMDB0000191
Ulcerative colitis,HMDB0000191
Colorectal cancer,HMDB0000191
Crohn's disease,HMDB0000191
Gout,HMDB0000191
Perillyl alcohol administration for cancer treatment,HMDB0000191
Pancreatic cancer,HMDB0000191
Periodontal disease,HMDB0000191
Frontotemporal dementia,HMDB0000191
Lewy body disease,HMDB0000191
Attachment loss,HMDB0000191
Missing teeth,HMDB0000191
Periodontal Probing Depth,HMDB0000191
Eosinophilic esophagitis,HMDB0000191
Colorectal cancer,HMDB0000062
Early preeclampsia,HMDB0000062
Pregnancy,HMDB0000062
Late-onset preeclampsia,HMDB0000062
L-2-Hydroxyglutaric aciduria,HMDB0000062
3-Hydroxy-3-Methylglutaryl-CoA Synthase Deficiency,HMDB0000062
3-Hydroxyacyl-CoA dehydrogenase deficiency,HMDB0000062
3-Hydroxy-3-methylglutaryl-CoA lyase deficiency,HMDB0000062
"2,4-dienoyl-CoA reductase deficiency",HMDB0000062
Myopathic carnitine deficiency,HMDB0000062
Carnitine palmitoyltransferase I deficiency,HMDB0000062
Carnitine transporter defect; primary systemic carnitine deficiency,HMDB0000062
Methylmalonic aciduria mitochondrial encephelopathy Leigh-like,HMDB0000062
Mitochondrial trifunctional protein deficiency,HMDB0000062
"Long-chain Fatty Acids, Defect in Transport of",HMDB0000062
Oculocerebrorenal syndrome,HMDB0000062
Perillyl alcohol administration for cancer treatment,HMDB0000062
Periodontal disease,HMDB0000062
Pancreatic cancer,HMDB0000062
Attachment loss,HMDB0000062
Missing teeth,HMDB0000062
Periodontal Probing Depth,HMDB0000062
Tooth Decay,HMDB0000062
Diabetes mellitus type 2,HMDB0000062
Lung Cancer,HMDB0000062
Eosinophilic esophagitis,HMDB0000062
Propionic acidemia,HMDB0000062
Obesity,HMDB0000062
AIDS,HMDB0000574
Alzheimer's disease,HMDB0000574
Uremia,HMDB0000574
"Sulfite oxidase deficiency, ISOLATED",HMDB0000574
Multiple sclerosis,HMDB0000574
Stroke,HMDB0000574
Peripheral neuropathy,HMDB0000574
Dementia,HMDB0000574
Colorectal cancer,HMDB0000574
Autism,HMDB0000574
Eosinophilic esophagitis,HMDB0000574
Cystinylglycinuria,HMDB0000574
Juvenile myoclonic epilepsy,HMDB0000192
Acute seizures,HMDB0000192
Refractory localization-related epilepsy,HMDB0000192
Alzheimer's disease,HMDB0000192
Colorectal cancer,HMDB0000192
Schizophrenia,HMDB0000192
Parkinson's disease,HMDB0000192
Cystinuria,HMDB0000192
Eosinophilic esophagitis,HMDB0000192
Molybdenum cofactor deficiency,HMDB0000192
Fumarase deficiency,HMDB0000192
Hyperdibasic aminoaciduria I,HMDB0000192
Hyperlysinuria,HMDB0000192
Thyroid cancer,HMDB0000174
Colorectal cancer,HMDB0000174
Eosinophilic esophagitis,HMDB0000174
Epilepsy,HMDB0000148
Schizophrenia,HMDB0000148
Alzheimer's disease,HMDB0000148
Heart failure,HMDB0000148
Stomach cancer,HMDB0000148
N-acetylglutamate synthetase deficiency,HMDB0000148
Dicarboxylic aminoaciduria,HMDB0000148
Lipoyltransferase 1 Deficiency,HMDB0000148
Anoxia,HMDB0000148
Leukemia,HMDB0000148
Rett syndrome,HMDB0000148
Irritable bowel syndrome,HMDB0000148
Colorectal cancer,HMDB0000148
Autism,HMDB0000148
Crohn's disease,HMDB0000148
Ulcerative colitis,HMDB0000148
Obesity,HMDB0000148
Diverticular disease,HMDB0000148
Sepsis,HMDB0000148
Perillyl alcohol administration for cancer treatment,HMDB0000148
Pancreatic cancer,HMDB0000148
Periodontal disease,HMDB0000148
Autosomal  dominant polycystic kidney disease,HMDB0000148
Eosinophilic esophagitis,HMDB0000148
Epilepsy,HMDB0000641
Schizophrenia,HMDB0000641
Carbamoyl Phosphate Synthetase Deficiency,HMDB0000641
Colorectal cancer,HMDB0000641
Early preeclampsia,HMDB0000641
Pregnancy,HMDB0000641
Late-onset preeclampsia,HMDB0000641
Fumarase deficiency,HMDB0000641
N-acetylglutamate synthetase deficiency,HMDB0000641
Obesity,HMDB0000641
"Glutamine deficiency, congenital",HMDB0000641
Lipoyltransferase 1 Deficiency,HMDB0000641
"Phosphoenolpyruvate Carboxykinase Deficiency 1, Cytosolic",HMDB0000641
Alzheimer's disease,HMDB0000641
Leukemia,HMDB0000641
Propionic acidemia,HMDB0000641
Irritable bowel syndrome,HMDB0000641
Ulcerative colitis,HMDB0000641
Crohn's disease,HMDB0000641
Perillyl alcohol administration for cancer treatment,HMDB0000641
Pancreatic cancer,HMDB0000641
Periodontal disease,HMDB0000641
Frontotemporal dementia,HMDB0000641
Lewy body disease,HMDB0000641
Maple syrup urine disease,HMDB0000641
Eosinophilic esophagitis,HMDB0000641
Prostate cancer,HMDB0003466
Dengue fever,HMDB0000177
Epilepsy,HMDB0000177
Alzheimer's disease,HMDB0000177
Colorectal cancer,HMDB0000177
Schizophrenia,HMDB0000177
Fumarase deficiency,HMDB0000177
Obesity,HMDB0000177
Histidinemia,HMDB0000177
Leukemia,HMDB0000177
Pyridoxamine 5-prime-phosphate oxidase deficiency,HMDB0000177
Celiac disease,HMDB0000177
Autism,HMDB0000177
Crohn's disease,HMDB0000177
Ulcerative colitis,HMDB0000177
Perillyl alcohol administration for cancer treatment,HMDB0000177
Pancreatic cancer,HMDB0000177
Periodontal disease,HMDB0000177
Frontotemporal dementia,HMDB0000177
Lewy body disease,HMDB0000177
Autosomal  dominant polycystic kidney disease,HMDB0000177
Argininosuccinic aciduria,HMDB0000177
Propionic acidemia,HMDB0000177
Tyrosinemia I,HMDB0000177
Phenylketonuria,HMDB0000177
Maple syrup urine disease,HMDB0000177
Eosinophilic esophagitis,HMDB0000177
Prostate cancer,HMDB0003431
Colorectal cancer,HMDB0000719
Crohn's disease,HMDB0000719
Ulcerative colitis,HMDB0000719
Eosinophilic esophagitis,HMDB0000719
Epilepsy,HMDB0000172
Alzheimer's disease,HMDB0000172
Heart failure,HMDB0000172
Maple syrup urine disease,HMDB0000172
Colorectal cancer,HMDB0000172
Early preeclampsia,HMDB0000172
Pregnancy,HMDB0000172
Saccharopinuria,HMDB0000172
Dihydrolipoamide Dehydrogenase Deficiency,HMDB0000172
Branched-chain Keto Acid Dehydrogenase Kinase Deficiency,HMDB0000172
Lipoyltransferase 1 Deficiency,HMDB0000172
Leukemia,HMDB0000172
Schizophrenia,HMDB0000172
Crohn's disease,HMDB0000172
Ulcerative colitis,HMDB0000172
Irritable bowel syndrome,HMDB0000172
Autism,HMDB0000172
Perillyl alcohol administration for cancer treatment,HMDB0000172
Pancreatic cancer,HMDB0000172
Periodontal disease,HMDB0000172
Frontotemporal dementia,HMDB0000172
Lewy body disease,HMDB0000172
Attachment loss,HMDB0000172
Missing teeth,HMDB0000172
Periodontal Probing Depth,HMDB0000172
Autosomal  dominant polycystic kidney disease,HMDB0000172
Eosinophilic esophagitis,HMDB0000172
Hepatic and biliary malignancies,HMDB0000190
Diabetes mellitus type 1,HMDB0000190
Ethanol intoxication,HMDB0000190
Chronic progressive external ophthalmoplegia and Kearns-Sayre syndrome,HMDB0000190
Pancreatic cancer,HMDB0000190
Schizophrenia,HMDB0000190
Early preeclampsia,HMDB0000190
Pregnancy,HMDB0000190
Late-onset preeclampsia,HMDB0000190
"Sulfite oxidase deficiency, ISOLATED",HMDB0000190
2-Ketoglutarate dehydrogenase complex deficiency,HMDB0000190
3-Hydroxy-3-methylglutaryl-CoA lyase deficiency,HMDB0000190
3-Hydroxy-3-Methylglutaryl-CoA Synthase Deficiency,HMDB0000190
2-Methyl-3-hydroxybutyryl-CoA dehydrogenase deficiency,HMDB0000190
Mitochondrial complex I deficiency due to ACAD9 deficiency,HMDB0000190
3-Hydroxyacyl-CoA dehydrogenase deficiency,HMDB0000190
3-Hydroxyisobutyryl-coa hydrolase deficiency,HMDB0000190
3-Methylglutaconic Aciduria type IX,HMDB0000190
"Leigh's syndrome, subacute necrotizing encephalopathy, SNE",HMDB0000190
Myoclonic epilepsy and ragged red fiber disease,HMDB0000190
"Myopathy with lactic acidosis, hereditary",HMDB0000190
GRACILE syndrome,HMDB0000190
"Fructose-1,6-diphosphatase deficiency",HMDB0000190
Coenzyme Q10 deficiency,HMDB0000190
"Coenzyme Q10 deficiency, primary, 5",HMDB0000190
Combined oxidative phosphorylation deficiency 10,HMDB0000190
Combined oxidative phosphorylation deficiency 11,HMDB0000190
Combined oxidative phosphorylation deficiency 12,HMDB0000190
"Epileptic encephalopathy, early infantile, 39",HMDB0000190
"Hyperglycinemia, lactic acidosis, and seizures",HMDB0000190
"Metabolic encephalomyopathic crises, recurrent, with rhabdomyolysis, cardiac arrhythmias, and neurodegeneration",HMDB0000190
Methylmalonic aciduria mitochondrial encephelopathy Leigh-like,HMDB0000190
Mitochondrial trifunctional protein deficiency,HMDB0000190
Mitochondrial-encephalopathy-lactic acidosis-stroke,HMDB0000190
"Myopathy, lactic acidosis, and sideroblastic anemia 1",HMDB0000190
Pyruvate dehydrogenase phosphatase deficiency,HMDB0000190
Sengers syndrome,HMDB0000190
Acute Infantile Liver Failure,HMDB0000190
Cerebral creatine deficiency syndrome 2,HMDB0000190
Combined oxidative phosphorylation deficiency 14,HMDB0000190
D-Lactic Acidosis,HMDB0000190
Mitochondrial phosphate carrier deficiency,HMDB0000190
Mitochondrial pyruvate carrier deficiency,HMDB0000190
Pyruvate carboxylase deficiency,HMDB0000190
Pyruvate dehydrogenase deficiency (E1),HMDB0000190
Pyruvate dehydrogenase deficiency,HMDB0000190
Dihydrolipoamide Dehydrogenase Deficiency,HMDB0000190
Infantile Liver Failure Syndrome 2,HMDB0000190
Leber Optic Atrophy and Dystonia,HMDB0000190
"Leigh Syndrome, French Canadian Type",HMDB0000190
Lipoyltransferase 1 Deficiency,HMDB0000190
"Mitochondrial Myopathy, Infantile, Transient",HMDB0000190
Pearson Syndrome,HMDB0000190
"Phosphoenolpyruvate Carboxykinase Deficiency 1, Cytosolic",HMDB0000190
Sepsis,HMDB0000190
Anoxia,HMDB0000190
Dementia,HMDB0000190
Cytochrome C oxidase deficiency,HMDB0000190
"2,4-dienoyl-CoA reductase deficiency",HMDB0000190
"Coenzyme Q10 deficiency, primary, 1",HMDB0000190
"Mitochondrial encephalomyopaththy with elevanted methylmalonic acid, SUCLA2",HMDB0000190
Colorectal cancer,HMDB0000190
Irritable bowel syndrome,HMDB0000190
Ulcerative colitis,HMDB0000190
Crohn's disease,HMDB0000190
Alzheimer's disease,HMDB0000190
Frontotemporal dementia,HMDB0000190
Lewy body disease,HMDB0000190
Temporomandibular joint disorder,HMDB0000190
Attachment loss,HMDB0000190
Missing teeth,HMDB0000190
Periodontal Probing Depth,HMDB0000190
Paraquat poisoning,HMDB0000190
Autosomal  dominant polycystic kidney disease,HMDB0000190
Eosinophilic esophagitis,HMDB0000190
Propionic acidemia,HMDB0000190
Amish lethal microcephaly,HMDB0000190
3-Methylglutaconic Aciduria type VI,HMDB0000190
3-Methylglutaconic Aciduria type V,HMDB0000190
"Fructose intolerance, hereditary",HMDB0000190
"Deafness, Onychodystrophy, Osteodystrophy, Mental Retardation, and Seizures Syndrome",HMDB0000190
Epilepsy,HMDB0000687
