Metabolite,Biospecimen,Concentration,Patient Status,Age,Sex,Disease
N-Acetylvaline (HMDB0011757),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
N-Methyl-L-proline (HMDB0094696),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
alpha-Methylphenylalanine (HMDB0029223),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
1-Methyladenosine (HMDB0003331),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
N-alpha-Acetyl-L-lysine (HMDB0000446),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
N6-Acetyl-L-lysine (HMDB0000206),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Nervonic acid (HMDB0002368),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Niacinamide (HMDB0001406),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Nicotinic acid ribonucleoside (HMDB0006809),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Nonadecanoic acid (HMDB0000772),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Octaethylene glycol (HMDB0094680),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Oleic acid (HMDB0000207),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Oleoylethanolamide (HMDB0002088),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Ornithine (HMDB0000214),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Orotic acid (HMDB0000226),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
p-Aminobenzoic acid (HMDB0001392),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
p-Cresol sulfate (HMDB0011635),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
4-Hydroxybenzaldehyde (HMDB0011718),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Palmitic acid (HMDB0000220),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Palmitic amide (HMDB0012273),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Palmitoylethanolamide (HMDB0002100),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Pantothenic acid (HMDB0000210),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Pelargonic acid (HMDB0000847),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Pentadecanoic acid (HMDB0000826),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Phenylacetic acid (HMDB0000209),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Phenylalanine (HMDB0000159),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Phenylalanylalanine (HMDB0028988),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Phenylalanylaspartic acid (HMDB0028991),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Phenylalanylglycine (HMDB0028995),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Phenylalanylisoleucine (HMDB0028998),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Phenylalanylphenylalanine (HMDB0013302),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Phenylalanylserine (HMDB0029004),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Phenylalanyltyrosine (HMDB0029007),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Phenylalanylvaline (HMDB0029008),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
D-Phenyllactic acid (HMDB0000563),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-3-Phenyllactic acid (HMDB0000748),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Phosphate (HMDB0001429),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Phytol (HMDB0002019),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Pipecolic acid (HMDB0000070),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Piperine (HMDB0029377),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Proline (HMDB0000162),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Prolyl-Alanine (HMDB0029010),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Prolylphenylalanine (HMDB0011179),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Pterin (HMDB0000802),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Putrescine (HMDB0001414),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Pyridoxal (HMDB0001545),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
4-Pyridoxic acid (HMDB0000017),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Pyroglutamylvaline (HMDB0094651),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Rhamnose (HMDB0000849),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Riboflavin (HMDB0000244),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
D-Ribose (HMDB0000283),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Ribulose (HMDB0003371),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Saccharopine (HMDB0000279),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Salicylic acid (HMDB0001895),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Serine (HMDB0000187),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Serylisoleucine (HMDB0029042),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Serylleucine (HMDB0029043),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Serylproline (HMDB0029047),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Serylvaline (HMDB0029052),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Sphinganine (HMDB0000269),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Sphingosine (HMDB0000252),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Proline betaine (HMDB0004827),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Octadecanamide (HMDB0034146),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Stearic acid (HMDB0000827),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Stearidonic acid (HMDB0006547),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Stearoylethanolamide (HMDB0013078),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Suberic acid (HMDB0000893),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Succinic acid (HMDB0000254),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Taurine (HMDB0000251),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Thiamine (HMDB0000235),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Threonic acid (HMDB0000943),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Threonic Acid (HMDB0062620),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Threonine (HMDB0000167),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Thymine (HMDB0000262),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Trans-urocanate (HMDB0062562),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
"1,2,3-Propanetricarboxylic acid (HMDB0031193)",Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Tryptophan (HMDB0000929),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
D-Tryptophan (HMDB0013609),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Tryptophyl-Alanine (HMDB0029076),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Tryptophyl-Glutamate (HMDB0029082),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Tryptophyl-Glycine (HMDB0029083),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Tryptophyl-Isoleucine (HMDB0029086),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Tryptophyl-Proline (HMDB0029091),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Tryptophyl-Valine (HMDB0029096),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Tyramine (HMDB0000306),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Tyrosine (HMDB0000158),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Tyrosyl-Alanine (HMDB0029098),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Tyrosyl-Glutamate (HMDB0029104),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Tyrosyl-Glutamine (HMDB0029103),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Tyrosyl-Isoleucine (HMDB0029108),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Tyrosyl-Leucine (HMDB0029109),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Tyrosyl-Phenylalanine (HMDB0029112),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Tyrosyl-Tyrosine (HMDB0029117),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Tyrosyl-Valine (HMDB0029118),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Undecanedioic acid (HMDB0000888),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Undecanoic acid (HMDB0000947),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Uracil (HMDB0000300),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Uric acid (HMDB0000289),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Urea (HMDB0000294),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Val-Val-Val (HMDB0094676),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Valine (HMDB0000883),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Valylalanine (HMDB0029120),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Valylaspartic acid (HMDB0029123),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Valylglutamic acid (HMDB0029126),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Valylglutamine (HMDB0029125),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Valylglycine (HMDB0029127),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Valylisoleucine (HMDB0029130),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Valylleucine (HMDB0029131),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Valyllysine (HMDB0029132),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Valylmethionine (HMDB0029133),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Valylphenylalanine (HMDB0029134),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Valylserine (HMDB0029136),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Valyltryptophan (HMDB0029138),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Valyltyrosine (HMDB0029139),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Valylvaline (HMDB0029140),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Xanthine (HMDB0000292),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
D-Xylose (HMDB0000098),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
(R)-Salsolinol (HMDB0005199),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
"1,11-Undecanedicarboxylic acid (HMDB0002327)",Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Propylene glycol (HMDB0001881),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
"1,3,7-Trimethyluric acid (HMDB0002123)",Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Dihydroxyacetone (HMDB0001882),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
"1,3-Dimethyluric acid (HMDB0001857)",Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Levoglucosan (HMDB0000640),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
"1,7-Dimethyluric acid (HMDB0011103)",Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
1-Hexadecanol (HMDB0003424),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
1-Methyluric acid (HMDB0003099),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
1-Methylxanthine (HMDB0010738),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Octadecanol (HMDB0002350),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
MG(18:1(9Z)/0:0/0:0) (HMDB0011567),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
MG(16:0/0:0/0:0) (HMDB0011564),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
MG(18:0/0:0/0:0) (HMDB0011131),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
LysoPC(18:0/0:0) (HMDB0010384),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
1-Stearoylglycerophosphoglycerol (HMDB0061697),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
LysoPI(18:0/0:0) (HMDB0240261),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
10Z-Heptadecenoic acid (HMDB0060038),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
12-Methyltridecanoic acid (HMDB0031072),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
13-HODE (HMDB0004667),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
13-Methylmyristic acid (HMDB0061707),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
15-Methylpalmitate (HMDB0061709),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
17-Methyloctadecanoic acid (HMDB0037397),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Deoxyadenosine (HMDB0000101),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Deoxycytidine (HMDB0000014),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
dCMP (HMDB0001202),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Deoxyguanosine (HMDB0000085),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Deoxyinosine (HMDB0000071),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Deoxyuridine (HMDB0000012),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
"(R)-2,3-Dihydroxy-isovalerate (HMDB0012141)",Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
"2,4,6-Trihydroxybenzoic acid (HMDB0029649)",Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Aminoadipic acid (HMDB0000510),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-alpha-Aminobutyric acid (HMDB0000452),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Norvaline (HMDB0013716),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
2-Aminoheptanedioic acid (HMDB0034252),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
2-Ethylhexanoic acid (HMDB0031230),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
2-Hydroxy-3-methylpentanoic acid (HMDB0000317),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
2-Hydroxyadipic acid (HMDB0000321),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
2-Hydroxybutyric acid (HMDB0000008),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
2-Hydroxyglutarate (HMDB0059655),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Salicyluric acid (HMDB0000840),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
alpha-Hydroxyisobutyric acid (HMDB0000729),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
2-Hydroxymyristic acid (HMDB0002261),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Hydroxyoctanoic acid (HMDB0000711),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
2-Hydroxyhexadecanoic acid (HMDB0031057),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
2-Hydroxystearic acid (HMDB0062549),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
2-Methylglutaric acid (HMDB0000422),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
LysoPC(0:0/18:1(9Z)) (HMDB0061701),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
2-oleoyl-sn-glycero-3-phosphocholine (HMDB0062651),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
"xi-2,3-Dihydro-2-oxo-1H-indole-3-acetic acid (HMDB0035514)",Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
MG(0:0/16:0/0:0) (HMDB0011533),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
MG(0:0/18:0/0:0) (HMDB0011535),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
2-Stearoylglycerophosphoglycerol (HMDB0061703),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Crustecdysone (HMDB0030180),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Protocatechuic acid (HMDB0001856),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
"3,4-Dihydroxybenzeneacetic acid (HMDB0001336)",Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
"3,7-Dimethyluric acid (HMDB0001982)",Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
3-(2-Hydroxyphenyl)propanoic acid (HMDB0033752),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Hydroxyphenyllactic acid (HMDB0000755),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Desaminotyrosine (HMDB0002199),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
3-Aminobutanoic acid (HMDB0031654),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
3-Aminoisobutanoic acid (HMDB0003911),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
3-Oxocholic acid (HMDB0000502),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
3-Hydroxymethylglutaric acid (HMDB0000355),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
3-Hydroxybenzoic acid (HMDB0002466),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
3-Hydroxycapric acid (HMDB0002203),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
3-Hydroxyhippuric acid (HMDB0006116),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
(S)-3-Hydroxyisobutyric acid (HMDB0000023),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
3-Hydroxyoctanoic acid (HMDB0001954),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
3-Hydroxyphenylacetic acid (HMDB0000440),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Hydroxypropionic acid (HMDB0000700),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Indoxyl sulfate (HMDB0000682),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Chrysoeriol (HMDB0030667),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
3-Methyl-2-oxovaleric acid (HMDB0000491),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
3-Methyladipic acid (HMDB0000555),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Methylglutaric acid (HMDB0000752),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
3-Methylhistidine (HMDB0000479),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
3-Methylthiopropionic acid (HMDB0001527),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
3-Methylxanthine (HMDB0001886),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Hydrocinnamic acid (HMDB0000764),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Ureidopropionic acid (HMDB0000026),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
4-Acetamidobutanoic acid (HMDB0003681),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Cholestenone (HMDB0000921),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
4-Ethylphenylsulfate (HMDB0062551),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
4-Guanidinobutanoic acid (HMDB0003464),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
4-Hydroxynonenal (HMDB0004362),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
4-Hydroxybenzoic acid (HMDB0000500),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
4-Hydroxybenzyl alcohol (HMDB0011724),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
4-Hydroxybutyric acid (HMDB0000710),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
4-Hydroxycinnamic acid (HMDB0002035),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
4-Hydroxyhippuric acid (HMDB0013678),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
p-Hydroxymandelic acid (HMDB0000822),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
p-Hydroxyphenylacetic acid (HMDB0000020),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
4-Hydroxyphenylpyruvic acid (HMDB0000707),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Ketoleucine (HMDB0000695),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
4-Methylcatechol (HMDB0000873),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Dihydrouracil (HMDB0000076),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
5-Aminopentanoic acid (HMDB0003355),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
5Z-Dodecenoic acid (HMDB0000529),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
5-Hydroxyhexanoic acid (HMDB0000525),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
5-Hydroxylysine (HMDB0000450),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Sumiki's acid (HMDB0002432),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
5-Keto-D-gluconate (HMDB0011731),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
5'-Methylthioadenosine (HMDB0001173),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Ribothymidine (HMDB0000884),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Pyroglutamic acid (HMDB0000267),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
6-Hydroxynicotinic acid (HMDB0002658),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
6-Oxopiperidine-2-carboxylic acid (HMDB0061705),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
7alpha-Hydroxycholesterol (HMDB0001496),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
7beta-Hydroxycholesterol (HMDB0006119),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
7-Hydroxyoctanoic acid (HMDB0000486),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
7-Ketodeoxycholic acid (HMDB0000391),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Nutriacholic acid (HMDB0000467),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
7-Methylguanine (HMDB0000897),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
7-Methyluric acid (HMDB0011107),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
7-Methylxanthine (HMDB0001991),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
8-Hydroxyguanine (HMDB0002032),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
8-Hydroxyoctanoate (HMDB0061914),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
alpha-Dimorphecolic acid (HMDB0004670),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
