Biospecimen,Status,Value,Age,Sex,Condition,Reference,Details,ID
Feces,Detected but not Quantified,Not Quantified,Children (6 - 18 years old),Both,Crohns disease,27609529,details,HMDB0000191
Feces,Detected but not Quantified,Not Quantified,Children (6 - 18 years old),Both,Ulcerative colitis,27609529,details,HMDB0000191
Feces,Detected but not Quantified,Not Quantified,Children (6 - 18 years old),Not Specified,Crohns disease,27609529,details,HMDB0000191
Feces,Detected but not Quantified,Not Quantified,Children (6 - 18 years old),Not Specified,Ulcerative colitis,27609529,details,HMDB0000191
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal cancer,25105552,details,HMDB0000191
Feces,Detected but not Quantified,Not Quantified,Children (6 - 18 years old),Not Specified,Unclassified IBD,27609529,details,HMDB0000191
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Crohns disease,25598765,details,HMDB0000191
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Ulcerative colitis,25598765,details,HMDB0000191
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal cancer,23940645,details,HMDB0000191
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal cancer,25037050,details,HMDB0000191
Saliva,Detected but not Quantified,Not Quantified,Adult (>18 years old),Male,Attachment loss,31026179,details,HMDB0000191
Saliva,Detected but not Quantified,Not Quantified,Adult (>18 years old),Male,Missing teeth,31026179,details,HMDB0000191
Saliva,Detected but not Quantified,Not Quantified,Adult (>18 years old),Male,Periodontal Probing Depth,31026179,details,HMDB0000191
Saliva,Detected and Quantified,9.62 +/- 6.59 uM,Adult (>18 years old),Male,Alzheimer's disease,23857558,details,HMDB0000191
Saliva,Detected and Quantified,11.32 +/- 3.39 uM,Adult (>18 years old),Male,Frontotemporal lobe dementia,23857558,details,HMDB0000191
Saliva,Detected and Quantified,13.36 +/- 3.74 uM,Adult (>18 years old),Both,Lewy body disease,23857558,details,HMDB0000191
Saliva,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Oral cancer,20300169,details,HMDB0000191
Saliva,Detected but not Quantified,Not Quantified,Adult (>18 years old),Female,Breast cancer,20300169,details,HMDB0000191
Saliva,Detected but not Quantified,Not Quantified,Adult (>18 years old),Not Specified,Pancreatic cancer,20300169,details,HMDB0000191
Saliva,Detected but not Quantified,Not Quantified,Adult (>18 years old),Not Specified,Periodontal diseases,20300169,details,HMDB0000191
Urine,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Bladder cancer,28157703,details,HMDB0000191
Urine,Detected and Quantified,24.087 +/- 22.064 umol/mmol creatinine,Children (1 - 13 years old),Not Specified,Eosinophilic esophagitis,Analysis of 30 no...,details,HMDB0000191
Urine,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal cancer,25105552,details,HMDB0000191
Urine,Detected and Quantified,29.311 +/- 17.1956 umol/mmol creatinine,Children (1 - 13 years old),Not Specified,Eosinophilic esophagitis,Analysis of 30 no...,details,HMDB0000191
Urine,Detected and Quantified,28.1856 +/- 25.7291 umol/mmol creatinine,Children (1 - 13 years old),Not Specified,Gastroesophageal reflux disease,Analysis of 30 no...,details,HMDB0000191
Blood,Detected and Quantified,22000-50000 uM,Not Specified,Not Specified,3-Hydroxy-3-Methylglutaryl-CoA Synthase Deficiency,9727719,details,HMDB0000062
Blood,Detected and Quantified,41.7 +/- 23.9 uM,Adult (>18 years old),Both,Heart Transplant,21359215,details,HMDB0000062
Blood,Detected and Quantified,17 uM,Adult (>18 years old),Male,3-Hydroxy-3-Methylglutaryl-CoA Lyase Deficiency,19893767,details,HMDB0000062
Blood,Detected and Quantified,47-68 uM,Infant (0-1 year old),Female,3-Hydroxyacyl-CoA dehydrogenase deficiency (SCHAD),11489939,details,HMDB0000062
Blood,Detected and Quantified,20.6-33.8 uM,Adult (>18 years old),Female,Myopathic carnitine deficiency,15519880,details,HMDB0000062
Blood,Detected and Quantified,0-2.2 uM,Infant (0-1 year old),Female,"Long-chain Fatty Acids, Defect in Transport of",3185635,details,HMDB0000062
Blood,Detected and Quantified,12 uM,Newborn (0-30 days old),Male,Carnitine palmitoyltransferase deficiency I,11286380,details,HMDB0000062
Blood,Detected and Quantified,0 uM,Infant (0-1 year old),Female,Carnitine transporter defect; primary systemic carnitine deficiency,3185635,details,HMDB0000062
Blood,Detected and Quantified,15 uM,Newborn (0-30 days old),Male,Carnitine palmitoyltransferase deficiency I,11286380,details,HMDB0000062
Blood,Detected and Quantified,37-48 uM,Infant (0-1 year old),Not Specified,Oculocerebrorenal Syndrome of Lowe,2017228,details,HMDB0000062
Blood,Detected and Quantified,26.04 +/- 10.5  uM,Adult (>18 years old),Female,Pregnancy with fetuses with trisomy 18,23535240,details,HMDB0000062
Blood,Detected and Quantified,23-72 uM,Children (1-13 years old),Both,Methylmalonic aciduria mitochondrial encephelopathy Leigh-like,17301081,details,HMDB0000062
Blood,Detected and Quantified,15-34 uM,Children (1-13 years old),Not Specified,Oculocerebrorenal Syndrome of Lowe,2017228,details,HMDB0000062
Blood,Detected and Quantified,24.3 +/- 11.7  uM,Adult (>18 years old),Female,Pregnancy,23535240,details,HMDB0000062
Blood,Detected and Quantified,9-33 uM,Adolescent (13-18 years old),Not Specified,Oculocerebrorenal Syndrome of Lowe,2017228,details,HMDB0000062
Blood,Detected and Quantified,19-31 uM,Adult (>18 years old),Not Specified,Oculocerebrorenal Syndrome of Lowe,2017228,details,HMDB0000062
Blood,Detected and Quantified,30.2 (6.3)  uM,Adult (>18 years old),Female,Early preeclampsia,22494326,details,HMDB0000062
Blood,Detected and Quantified,10-21 uM,Infant (0-1 year old),Not Available,Mitochondrial trifunctional protein deficiency,12838198,details,HMDB0000062
Blood,Detected and Quantified,31.8 (14.1)  uM,Adult (>18 years old),Female,Pregnancy,22494326,details,HMDB0000062
Blood,Detected and Quantified,0.7 uM,Infant (0-1 year old),Female,Carnitine transporter defect; primary systemic carnitine deficiency,3185635,details,HMDB0000062
Blood,Detected and Quantified,4.2 uM,Children (1-13 years old),Male,Carnitine transporter defect; primary systemic carnitine deficiency,7131143,details,HMDB0000062
Blood,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal cancer,25105552,details,HMDB0000062
Blood,Detected and Quantified,43-51 uM,Infant (0-1 year old),Male,3-Hydroxyacyl-CoA dehydrogenase deficiency (SCHAD),23430856,details,HMDB0000062
Blood,Detected and Quantified,16.798 (14.323)  uM,Adult (>18 years old),Female,Pregnancy with fetus having congenital heart defect,24704061,details,HMDB0000062
Blood,Detected and Quantified,15.08 +/- 5.71 uM,Children (1-13 years old),Both,Acetaminophen overdose,24521011,details,HMDB0000062
Blood,Detected and Quantified,21.08 (4.88)  uM,Adult (>18 years old),Female,Pregnancy with fetus having congenital heart defect,24704061,details,HMDB0000062
Blood,Detected and Quantified,19.98 (4.82)  uM,Adult (>18 years old),Female,Pregnancy,24704061,details,HMDB0000062
Blood,Detected and Quantified,46.8 (24.8)  uM,Adult (>18 years old),Female,Late-onset preeclampsia,23159745,details,HMDB0000062
Blood,Detected and Quantified,18-22 uM,Infant (0-1 year old),Male,"2,4-dienoyl-CoA reductase deficiency",24847004,details,HMDB0000062
Blood,Detected and Quantified,27.8 (20.0)  uM,Adult (>18 years old),Female,Pregnancy,23159745,details,HMDB0000062
Blood,Detected and Quantified,50.65(14.14) uM,Adult (>18 years old),Both,Heart failure with preserved ejection fraction,26010610,details,HMDB0000062
Blood,Detected and Quantified,47.22(15.19) uM,Adult (>18 years old),Both,Heart failure with preserved ejection fraction,26010610,details,HMDB0000062
Blood,Detected and Quantified,54.38(13.17) uM,Adult (>18 years old),Both,Heart failure with reduced ejection fraction,26010610,details,HMDB0000062
Blood,Detected and Quantified,50.38(8.11) uM,Adult (>18 years old),Both,Heart failure with reduced ejection fraction,26010610,details,HMDB0000062
Blood,Detected and Quantified,20.540 +/- 1.850 uM,Children (1-13 years old),Not Specified,3-Hydroxy-3-Methylglutaryl-CoA Lyase Deficiency,25557019,details,HMDB0000062
Blood,Detected and Quantified,23-50 uM,Children (1-13 years old),Both,L-2-hydroxyglutaric aciduria,9187477,details,HMDB0000062
Blood,Detected and Quantified,34.0 +/- 8.8 uM,Children (1-13 years old),Both,Obesity,Metabolomics reve...,details,HMDB0000062
Blood,Detected and Quantified,36.2 +/- 8.1 uM,Children (1-13 years old),Both,Obesity,Metabolomics reve...,details,HMDB0000062
Blood,Detected and Quantified,25.5 (9.7)  uM,Adult (>18 years old),Female,Down syndrome pregnancy,23313728,details,HMDB0000062
Blood,Detected and Quantified,19.5 (8.3)  uM,Adult (>18 years old),Female,Pregnancy,23313728,details,HMDB0000062
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal cancer,25037050,details,HMDB0000062
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal cancer,27015276,details,HMDB0000062
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal Cancer,27275383,details,HMDB0000062
Saliva,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Oral cancer,20300169,details,HMDB0000062
Saliva,Detected but not Quantified,Not Quantified,Adult (>18 years old),Female,Breast cancer,20300169,details,HMDB0000062
Saliva,Detected but not Quantified,Not Quantified,Adult (>18 years old),Not Specified,Periodontal diseases,20300169,details,HMDB0000062
Saliva,Detected but not Quantified,Not Quantified,Adult (>18 years old),Not Specified,Pancreatic cancer,20300169,details,HMDB0000062
Saliva,Detected but not Quantified,Not Quantified,Adult (>18 years old),Male,Attachment loss,31026179,details,HMDB0000062
Saliva,Detected but not Quantified,Not Quantified,Adult (>18 years old),Male,Missing teeth,31026179,details,HMDB0000062
Saliva,Detected but not Quantified,Not Quantified,Adult (>18 years old),Male,Periodontal Probing Depth,31026179,details,HMDB0000062
Saliva,Detected but not Quantified,Not Quantified,Adult (>18 years old),Male,Tooth Decay,31026179,details,HMDB0000062
Urine,Detected and Quantified,13.3 (11.6-15.1) umol/mmol creatinine,Adult (>18 years old),Both,Diabetes,6810706,details,HMDB0000062
Urine,Detected and Quantified,41.3 (38.3-44.2) umol/mmol creatinine,Adult (>18 years old),Both,Diabetes,6810706,details,HMDB0000062
Urine,Detected and Quantified,11183.81 +/- 6864.25 umol/mmol creatinine,Adolescent (13-18 years old),Both,Obese,26910390,details,HMDB0000062
Urine,Detected and Quantified,1.517 umol/mmol creatinine,Children (1-13 years old),Not Available,Carnitine transporter defect; primary systemic carnitine deficiency,7131143,details,HMDB0000062
Urine,Detected and Quantified,9.395-121.200 umol/mmol creatinine,Adult (>18 years old),Female,Myopathic carnitine deficiency,15519880,details,HMDB0000062
Urine,Detected and Quantified,7.21 umol/mmol creatinine,Adult (>18 years old),Not Specified,Propionic acidemia,28853722,details,HMDB0000062
Urine,Detected and Quantified,7.0 (0.0-30.0) umol/mmol creatinine,Not Specified,Both,Lung cancer,18953024,details,HMDB0000062
Urine,Detected and Quantified,17.565 +/- 24.221 umol/mmol creatinine,Children (1 - 13 years old),Not Specified,Eosinophilic esophagitis,Analysis of 30 no...,details,HMDB0000062
Urine,Detected and Quantified,31-Jul umol/mmol creatinine,Children (1-13 years old),Both,L-2-hydroxyglutaric aciduria,9187477,details,HMDB0000062
Blood,Detected and Quantified,0.355 (0.157-1.146) uM,Adult (>18 years old),Not Specified,Multiple sclerosis,17384003,details,HMDB0000574
Blood,Detected and Quantified,0.420 (0.154-0.874) uM,Adult (>18 years old),Not Specified,Stroke,17384003,details,HMDB0000574
Blood,Detected and Quantified,0.415 (0.199-1.038) uM,Adult (>18 years old),Not Specified,Peripheral neuropathy,17384003,details,HMDB0000574
Blood,Detected and Quantified,0.491 (0.247-1.764) uM,Adult (>18 years old),Not Specified,Dementia (Alzheimer's and non-Alzheimer's),17384003,details,HMDB0000574
Blood,Detected and Quantified,5000000 uM,Children (1-13 years old),Female,Sulfite oxidase deficiency,23452914,details,HMDB0000574
Blood,Detected and Quantified,0.56 +/- 0.03 uM,Adult (>18 years old),Both,uremia,22626821,details,HMDB0000574
Blood,Detected and Quantified,<5 uM,Infant (0-1 year old),Male,Sulfite oxidase deficiency,Clinical and Labo...,details,HMDB0000574
Blood,Detected and Quantified,13.0 (10.0-16.0) uM,Adult (>18 years old),Both,AIDS,11153075,details,HMDB0000574
Blood,Detected and Quantified,12.81 +/- 2.17 uM,Elderly (>65 years old),Both,Alzheimer's Disease,17031479,details,HMDB0000574
Cerebrospinal Fluid (CSF),Detected and Quantified,0.042 (0.022-0.10) uM,Adult (>18 years old),Not Specified,Multiple sclerosis,17384003,details,HMDB0000574
Cerebrospinal Fluid (CSF),Detected and Quantified,0.048 (0.018-0.10) uM,Adult (>18 years old),Not Specified,Stroke,17384003,details,HMDB0000574
Cerebrospinal Fluid (CSF),Detected and Quantified,0.034 (0.018-0.075) uM,Adult (>18 years old),Not Specified,Peripheral neuropathy,17384003,details,HMDB0000574
Cerebrospinal Fluid (CSF),Detected and Quantified,0.047 (0.025-0.125) uM,Adult (>18 years old),Not Specified,Dementia (Alzheimer's and non-Alzheimer's),17384003,details,HMDB0000574
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal cancer,25037050,details,HMDB0000574
Feces,Detected but not Quantified,Not Quantified,Children (1-13 years old),Both,Autism,24130822,details,HMDB0000574
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal cancer,27015276,details,HMDB0000574
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal Cancer,27275383,details,HMDB0000574
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal cancer,25105552,details,HMDB0000574
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal cancer,19006102,details,HMDB0000574
Urine,Detected and Quantified,81-106 umol/mmol creatinine,Adolescent (13-18 years old),Male,Cystinylglycinuria,10384375,details,HMDB0000574
Urine,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Bladder cancer,28157703,details,HMDB0000574
Urine,Detected and Quantified,29.971 +/- 24.6 umol/mmol creatinine,Children (1 - 13 years old),Not Specified,Eosinophilic esophagitis,Analysis of 30 no...,details,HMDB0000574
Blood,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal cancer,25105552,details,HMDB0000192
Blood,Detected and Quantified,28.6 (24.2-33.0) uM,Children (1-13 years old),Both,Juvenile myoclonic epilepsy (JME),14992292,details,HMDB0000192
Blood,Detected and Quantified,30.1 (24.5-35.7) uM,Adult (>18 years old),Both,Acute seizures,14992292,details,HMDB0000192
Blood,Detected and Quantified,37.2 (34.6-39.8) uM,Adult (>18 years old),Both,Refractory localization-related epilepsy (RLE),14992292,details,HMDB0000192
Blood,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Schizophrenia,22024767,details,HMDB0000192
Blood,Detected and Quantified,209.0 +/- 46.0 uM,Elderly (>65 years old),Both,Alzheimer's Disease,17031479,details,HMDB0000192
Cerebrospinal Fluid (CSF),Detected and Quantified,0.31 +/- 0.06 uM,Adult (>18 years old),Both,Parkinson's Disease,12834252,details,HMDB0000192
Cerebrospinal Fluid (CSF),Detected and Quantified,7.8 +/- 2.5 umol/mmol creatinine,Adult (>18 years old),Both,Alzheimer's disease,17031479,details,HMDB0000192
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal cancer,25037050,details,HMDB0000192
Urine,Detected and Quantified,136.5-79.36 umol/mmol creatinine,Children (1-13 years old),Male,Cystinuria,8587621,details,HMDB0000192
Urine,Detected and Quantified,90.800-558.500 umol/mmol creatinine,Adult (>18 years old),Both,Cystinuria,14586528,details,HMDB0000192
Urine,Detected and Quantified,140.0813-306.845 umol/mmol creatinine,Adult (>18 years old),Not Specified,Cystinuria Type I/III,9648063,details,HMDB0000192
Urine,Detected and Quantified,100.0581-246.245 umol/mmol creatinine,Children (1-13 years old),Not Specified,Cystinuria Type I/III,9648063,details,HMDB0000192
Urine,Detected and Quantified,111.929-196.724 umol/mmol creatinine,Children (1-13 years old),Not Specified,Cystinuria Type II,9648063,details,HMDB0000192
Urine,Detected and Quantified,11.306-67.836 umol/mmol creatinine,Children (1-13 years old),Not Specified,Cystinuria Type III,9648063,details,HMDB0000192
Urine,Detected and Quantified,65.0 (30.0-100.0) umol/mmol creatinine,Adult (>18 years old),Both,Cystinuria,MetaGene: Metabol...,details,HMDB0000192
Urine,Detected and Quantified,575.0 (150.0 -1000.0) umol/mmol creatinine,Children (1-13 years old),Both,Cystinuria,MetaGene: Metabol...,details,HMDB0000192
Urine,Detected and Quantified,> 117 umol/mmol creatinine,Adult (>18 years old),Both,Cystinuria,8890399,details,HMDB0000192
Urine,Detected and Quantified,908-5585 umol/mmol creatinine,Adult (>18 years old),Both,Hyperlysinuria,14586528,details,HMDB0000192
Urine,Detected and Quantified,4.423-24.136 umol/mmol creatinine,Children (1-13 years old),Female,Dibasic Amino Aciduria I,5727921,details,HMDB0000192
Urine,Detected and Quantified,6.681-21.125 umol/mmol creatinine,Adult (>18 years old),Both,Dibasic Amino Aciduria I,5727921,details,HMDB0000192
Urine,Detected and Quantified,0 umol/mmol creatinine,Children (1-13 years old),Not Specified,Molybdenum cofactor deficiency,8051926,details,HMDB0000192
Urine,Detected and Quantified,7 umol/mmol creatinine,Newborn (0-30 days old),Not Specified,Molybdenum cofactor deficiency,8051926,details,HMDB0000192
Urine,Detected and Quantified,135.900-156.400 umol/mmol creatinine,Infant (0-1 year old),Not Specified,Fumaric aciduria,20549362,details,HMDB0000192
Urine,Detected and Quantified,17.486 +/- 14.104 umol/mmol creatinine,Children (1 - 13 years old),Not Specified,Eosinophilic esophagitis,Analysis of 30 no...,details,HMDB0000192
Urine,Detected and Quantified,463.1 umol/mmol creatinine,Adult (>18 years old),Both,Cystinuria,14586528,details,HMDB0000192
Urine,Detected and Quantified,5.975-24.136 umol/mmol creatinine,Children (1 - 13 years old),Female,Hyperdibasic aminoaciduria I,5727921,details,HMDB0000192
Urine,Detected and Quantified,6.681-2.305 umol/mmol creatinine,Adult (>18 years old),Both,Hyperdibasic aminoaciduria I,5727921,details,HMDB0000192
Urine,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Schizophrenia,22024767,details,HMDB0000192
Urine,Detected and Quantified,72.03 +/- 12.0 umol/mmol creatinine,Adult (>18 years old),Both,Alzheimer's disease,17031479,details,HMDB0000192
Blood,Detected and Quantified,15.0 (0.0-30.0) uM,Adult (>18 years old),Both,Cancer - assorted types,2311216,details,HMDB0000174
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal Cancer,27275383,details,HMDB0000174
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal cancer,25037050,details,HMDB0000174
Urine,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Bladder cancer,28157703,details,HMDB0000174
Urine,Detected and Quantified,16.162 +/- 12.201 umol/mmol creatinine,Children (1 - 13 years old),Not Specified,Eosinophilic esophagitis,Analysis of 30 no...,details,HMDB0000174
Blood,Detected and Quantified,72 +/- 36.9 uM,Adult (>18 years old),Both,Heart Transplant,21359215,details,HMDB0000148
Blood,Detected and Quantified,32.7 +/- 18.0 uM,Adult (>18 years old),Male,Schizophrenia,2480613,details,HMDB0000148
Blood,Detected and Quantified,34.7 +/- 26.0 uM,Adult (>18 years old),Both,Schizophrenia,2480613,details,HMDB0000148
Blood,Detected and Quantified,97.5 (60-241) uM,Children (1-13 years old),Male,Lipoyltransferase 1 Deficiency,24341803,details,HMDB0000148
Blood,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal cancer,25105552,details,HMDB0000148
Blood,Detected and Quantified,48.4 (24.8-87.2) uM,Infant (0-1 year old),Male,Dicarboxylic Aminoaciduria,894411,details,HMDB0000148
Blood,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Pancreatic Cancer,25429707,details,HMDB0000148
Blood,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,oesophago-gastric cancer,23896378,details,HMDB0000148
Blood,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,gastric cancer,21443661,details,HMDB0000148
Blood,Detected and Quantified,109-296 uM,Newborn (0-30 days old),Male,N-Acetylglutamate synthetase deficiency,7623444,details,HMDB0000148
Blood,Detected and Quantified,64-173 uM,Infant (0-1 year old),Male,N-Acetylglutamate synthetase deficiency,7623444,details,HMDB0000148
Blood,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,superficial gastric cancer,21443661,details,HMDB0000148
Blood,Detected and Quantified,71.3 +/- 12.3 uM,Adult (>18 years old),Both,Schizophrenia,25004141,details,HMDB0000148
Blood,Detected and Quantified,77.93 +/- 39.86 uM,Adult (>18 years old),Both,Schizophrenia,24713860,details,HMDB0000148
Blood,Detected and Quantified,251.7(156.9-334.7) uM,Children (1-13 uears old),Both,Environmental enteric dysfunction,27294788,details,HMDB0000148
Blood,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Schizophrenia,22024767,details,HMDB0000148
Blood,Detected and Quantified,29.8 (27.6-32.0) uM,Adult (>18 years old),Both,Epilepsy,14992292,details,HMDB0000148
Blood,Detected and Quantified,39.7 (36.5-42.9) uM,Children (1-13 years old),Both,Epilepsy,14992292,details,HMDB0000148
Blood,Detected and Quantified,33.18 +/- 11.26 uM,Elderly (>65 years old),Both,Alzheimer's disease,17031479,details,HMDB0000148
Blood,Detected and Quantified,56.6 (44.6-68.6) uM,Adult (>18 years old),Both,Epilepsy,14992292,details,HMDB0000148
Blood,Detected and Quantified,172.0 +/- 6.0 uM,Adult (>18 years old),Both,Heart failure,16789974,details,HMDB0000148
Cellular Cytoplasm,Detected and Quantified,2500 (2100-2900) uM,Adult (>18 years old),Both,Anoxia,8579834,details,HMDB0000148
Cerebrospinal Fluid (CSF),Detected and Quantified,0.213-0.539 uM,Children (1-13 years old),Female,Rett syndrome,8916158,details,HMDB0000148
Cerebrospinal Fluid (CSF),Detected and Quantified,0.252-0.332 uM,Adolescent (13-18 years old),Female,Rett syndrome,8916158,details,HMDB0000148
Cerebrospinal Fluid (CSF),Detected and Quantified,0 uM,Children (1-13 years old),Male,Lipoyltransferase 1 Deficiency,24341803,details,HMDB0000148
Cerebrospinal Fluid (CSF),Detected and Quantified,7.5 uM,Infant (0-1 year old),Male,Dicarboxylic Aminoaciduria,894411,details,HMDB0000148
Cerebrospinal Fluid (CSF),Detected and Quantified,26.8 +/- 5.9 uM,Children (1-13 years old),Not Specified,Leukemia,15911239,details,HMDB0000148
Cerebrospinal Fluid (CSF),Detected and Quantified,23.6 +/- 8.5 uM,Children (1-13 years old),Not Specified,Leukemia,15911239,details,HMDB0000148
Cerebrospinal Fluid (CSF),Detected and Quantified,0.32 +/- 0.09 uM,Adult (>18 years old),Both,Schizophrenia,7595563,details,HMDB0000148
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal Cancer,27275383,details,HMDB0000148
Feces,Detected but not Quantified,Not Quantified,Children (1-13 years old),Both,Autism,24130822,details,HMDB0000148
Feces,Detected but not Quantified,Not Quantified,Newborn (0-30 days old),Both,Sepsis,28701177,details,HMDB0000148
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Not Specified,obese,26505825,details,HMDB0000148
Feces,Detected but not Quantified,Not Quantified,Children (6 - 18 years old),Not Specified,Crohns disease,27609529,details,HMDB0000148
Feces,Detected but not Quantified,Not Quantified,Children (6 - 18 years old),Not Specified,Ulcerative colitis,27609529,details,HMDB0000148
Feces,Detected but not Quantified,Not Quantified,Children (6 - 18 years old),Not Specified,Unclassified IBD,27609529,details,HMDB0000148
Feces,Detected but not Quantified,Not Quantified,Not Specified,Not Specified,Cryptosporidium infection,22944170,details,HMDB0000148
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Female,Myalgic encephalomyelitis/chronic fatigue syndrome,Christopher ...,details,HMDB0000148
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal Cancer,27015276,details,HMDB0000148
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal cancer,28587349,details,HMDB0000148
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Irritable bowel syndrome,21330412,details,HMDB0000148
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal cancer,25105552,details,HMDB0000148
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Crohn disease,28842642,details,HMDB0000148
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Ulcerative colitis,28842642,details,HMDB0000148
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Not Specified,asymptomatic diverticulosis,27622378,details,HMDB0000148
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Not Specified,symptomatic uncomplicated diverticular disease,27622378,details,HMDB0000148
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal Cancer,27107423,details,HMDB0000148
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Crohns disease,25598765,details,HMDB0000148
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Ulcerative colitis,25598765,details,HMDB0000148
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal cancer,23940645,details,HMDB0000148
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal cancer,23940645,details,HMDB0000148
Saliva,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Oral cancer,20300169,details,HMDB0000148
Saliva,Detected but not Quantified,Not Quantified,Adult (>18 years old),Female,Breast cancer,20300169,details,HMDB0000148
Saliva,Detected but not Quantified,Not Quantified,Adult (>18 years old),Not Specified,Pancreatic cancer,20300169,details,HMDB0000148
Saliva,Detected but not Quantified,Not Quantified,Adult (>18 years old),Not Specified,Periodontal diseases,20300169,details,HMDB0000148
Urine,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Bladder cancer,28157703,details,HMDB0000148
Urine,Detected and Quantified,0.0064 umol/mmol creatinine,Adult (>18 years old),Both,ADPKD,21389975,details,HMDB0000148
Urine,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal cancer,25105552,details,HMDB0000148
Urine,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Schizophrenia,22024767,details,HMDB0000148
Urine,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,oesophago-gastric cancer,23896378,details,HMDB0000148
Urine,Detected and Quantified,11.2759 +/- 6.8729 umol/mmol creatinine,Children (1 - 13 years old),Not Specified,Eosinophilic esophagitis,Analysis of 30 no...,details,HMDB0000148
Urine,Detected and Quantified,20.6656 +/- 23.9161 umol/mmol creatinine,Children (1 - 13 years old),Not Specified,Gastroesophageal reflux disease,Analysis of 30 no...,details,HMDB0000148
Urine,Detected and Quantified,2 umol/mmol creatinine,Children (1-13 years old),Male,Lipoyltransferase 1 Deficiency,24341803,details,HMDB0000148
Urine,Detected and Quantified,21.741 +/- 15.628 umol/mmol creatinine,Children (1 - 13 years old),Not Specified,Eosinophilic esophagitis,Analysis of 30 no...,details,HMDB0000148
Blood,Detected and Quantified,150.4 (128.0)  uM,Adult (>18 years old),Female,Down syndrome pregnancy,23313728,details,HMDB0000641
Blood,Detected and Quantified,174.3 (216.4)  uM,Adult (>18 years old),Female,Pregnancy,23313728,details,HMDB0000641
Blood,Detected and Quantified,376.8 +/- 114.3 uM,Adult (>18 years old),Both,Heart Transplant,21359215,details,HMDB0000641
Blood,Detected and Quantified,650.0 +/- 98.0 uM,Adult (>18 years old),Male,Schizophrenia,2480613,details,HMDB0000641
